A0004,Acetazolamide 250mg
B0234,Pethidine hydrochloride 50mg/1ml 2ml
B0240,Phenobarbitone sodium 200mg/ml 1ml
B0242,Phytomenadione 2mg/ml (Vitamin K)
B0244,Phytomenadione 10mg/ml 1ml (Vitamin K)
B0246,Potassium chloride 20+ACU- 10ml
B0255,Procyclidine HCl 5mg/ml 2ml ampoule
B0262,Promethazine hydrochloride 25mg/ml 2ml
B0270,Quinine dihydrochloride 300mg/ml 2ml
B0272,Sodium bicarbonate 4+ACU- 50ml
B0276,Salbutamol sulphate 1mg/ml 5ml
B0288,Suramin sodium 1g
B0290,Suxamethonium chloride 50mg/ml 2ml
B0322,Thiopentone sodium 500mg PFR
B0330,Vincristine sulphate 1mg PFR
B0346,Water for injections 10ml
B0352,Ketamine hydrochloride 50mg/ml 10ml
B0406,Dextrose 5+ACU- 1000ml
B0446,Gelatin (as polygeline) 500ml pack iv infusion
B0450,Sodium chloride 0.9+ACU- 1000ml
B0454,Darrows half+AC0-strength in dextrose 5+ACU- 1000ml
B0458,Sodium lactate compound (Ringer's lactate) 1000ml
B0500,Dianeal  Dextrose 1.5+ACU- intraperitoneal dialysis soln. with minicap
B0504,Dianeal  Dextrose 2.5+ACU- intraperitoneal dialysis soln. with minicap
B0507,Bupivacaine spinal hyperbaric 0.5+ACU- 4ml
B0508,Bupivacaine spinal isobaric 0.5+ACU- 4ml
C0002,Anti+AC0-rabies serum
C0010,Tetanus antitoxin 1500 IU
C0012,Tetanus antitoxin 20000 IU
C0020,Anti+AC0-snake bite serum
C0042,Rabies vaccine course 1 dose PFR +ACY- diluent x 5 vials
C0048,Yellow fever vaccine 10+AC0-dose vial PFR  diluent
C0076,Anti+AC0-D human immunoglobulin 250 micrograms/ml
C0077,Hepatitis B vaccine 20mcg/ml 1ml
CL0034,Chloramphenicol succinate 1g PFR
CL0039,Amoxycillin 250mg
CL0096,Gentamicin 10mg/ml 2ml
CL0220,Benzylpenicillin 1g (1MU) PFR
CL0248,Amoxycillin 125mg/5ml suspension
CL0254,Chloramphenicol suspension 125mg/5ml
CL0346,Water for injections 10ml
CL0404,Cotrimoxazole 120mg
CL1070,Syringes hypoluer 2ml 23g disposable
CL1071,Syringes hypoluer 2ml 25g disposable
CL1073,Bottle plain plastic with screw cap
CS0002,Oral Contraceptive tablets +//0A4v/9AID//QCT- low oestrogen (e.g.Lofemenal)
CS0006,Oral Contraceptive tablets +//0A4v/9AID//QCT- progestogen only (e.g.Ovrette)
CS0008,0.03mg ethinylestradiol  0.15mg levonorgestrel
CS0012,Medroxyprogesterone acetate injection 150mg/mL 10mL vial (Depo+AC0-Provera/Petrogen)
CS0020,Vaginal Contraceptive tablets foaming (Conceptrol)
CS0024,Copper containing IUCD (Copper T)
CS0036,Condoms with spermicide
CS0040,Progestogen only surgical implant (Norplant)
D0004,Acetone
D0006,Glacial acetic acid
D0009,Anise oil
D0012,Benzoic acid
D0014,Brilliant Green
D0016,Citric acid
D0018,Hydrochloric acid concentrated
D0020,Nitric acid
D0024,Salicylic acid
D0041,Alcohol 96+ACU- (drum)
D0044,Methyl alcohol
D0046,Menthol crystals
D0066,Bentonite
D0078,Benzyl benzoate (drum)
D0088,Calamine
D0112,Chloramine
D0124,Chloroform
D0132,Crystal violet (Gentian violet)
D0136,Coal tar crude
D0144,Emulsifying wax 
D0170,Ferrous sulphate
D0183,Glycerine (drum)
D0184,Halothane (fluothane)
D0185,Halothane 
D0192,Iodine
D0212,Medical oxygen
D0218,Nitrous oxide
D0219,Medical oxygen
D0220,Medical oxygen
D0221,Medical oxygen
D0224,Nitrous oxide
D0277,Lemon oil
D0300,Paraffin hard
D0305,Paraffin liquid (drum)
D0307,Paraffin soft yellow (drum)
D0314,Phenol crystals
D0338,Potassium iodide
D0340,Formaldehyde liquid
D0346,Propylene glycol
D0378,Sodium citrate
D0387,Sodium thiosulphate
D0390,Wheat starch
D0406,Sulphur precipitated
D0448,Zinc oxide
E0001,Betamethasone sodium eardrops 0.1+ACU-
E0002,Benzyl benzoate application 25+ACU-
E0006,Oral rehydration sachet (WHO formula) for 1L solution
E0012,Black disinfectant
E0014,Alcohol 96+ACU- 
E0020,Chloramphenicol ear drops 5+ACU-
E0032,Amethocaine hydrochloride eye drops 1+ACU- (Minims)
E0034,Dexamethasone eye drops 0.1+ACU-
E0036,Chloramphenicol eye drops 0.5+ACU-
E0037,Cyclopentolate hydrochloride eye drops 0.5+ACU-
E0041,Fluorescein sodium eye drops 1+ACU- (Minims)
E0042,Gentamicin 0.3+ACU- eye drops
E0045,Miconazole eye drops 1+ACU-
E0053,Pilocarpine hydrochloride eye drops 2+ACU-
E0058,Tropicamide eye drops 0.5+ACU-
E0062,Timolol maleate eye drops 0.25+ACU-
E0150,Beclomethasone diproprionate inhalation 50mcg/dose 200 doses
E0152,Salbutamol sulphate aerosol inhalation 100mcg/dose 200 doses
E0189,Calamine lotion aqueous
E0191,Calamine lotion  sulphur 2+ACU-
E0192,Benzoic acid  salicylic acid compound lotion
E0200,Coal tar crude
E0205,Clotrimazole 240mg/5ml
E0248,Amoxycillin 125mg/5ml suspension
E0254,Chloramphenicol 125mg/5ml suspension
E0258,Chlorpheniramine 2mg/5ml suspension
E0266,Erythromycin suspension 125mg/5ml
E0268,Ferrous sulphate mixture paediatric 60mg/5ml
E0271,Flucloxacillin 125mg/5ml elixir
E0275,Magnesium sulphate enema 50+ACU-
E0276,Ketoconazole suspension 100mg/5ml
E0277,Halofantrine suspension 100mg/5ml (Halfan)
E0278,Nystatin oral suspension 100000 IU/dose
E0279,Paracetamol syrup 120mg/5ml
E0282,Metronidazole oral suspension 200mg /5ml
E0286,Promethazine hydrochloride elixir 5mg/5ml
E0310,Atropine sulphate eye ointment 1+ACU-
E0312,Chloramphenicol 1+ACU- eye ointment
E0314,Hydrocortisone eye ointment 1+ACU-
E0325,Tetracycline eye ointment 1+ACU-
E0330,Benzoic acid 6+ACU-  salicylic acid 3+ACU- ointment
E0333,Salicylic acid 10+ACU- ointment (in YSP)
E0334,Salicylic acid ointment 5+ACU- (in YSP base)
E0335,Salicylic acid 5+ACU-  crude coal tar 5+ACU- oint (in YSP base)
E0337,Salicylic acid 5+ACU-  sulphur 5+ACU- ointment (in YSP base)
E0338,Salicylic acid 5+ACU-  sulphur 5+ACU- ointment (in EO base)
E0341,Salicylic acid 10+ACU-  coal tar 5+ACU-
E0356,Emulsifying ointment
E0357,Betamethasone ointment 0.1+ACU-
E0358,Hydrocortisone ointment 1+ACU-
E0387,Lignocaine gel 2+ACU-
E0388,Salicylic acid 20+ACU- ointment
E0390,Zinc oxide 15+ACU- ointment (in EO base)
E0392,Zinc oxide 15+ACU- ointment +sulphv/9- 5+ACU-
E0402,Brilliant green paint 0.1+ACU-
E0404,Gentian violet paint aqueous 1+ACU-
E0408,Glycerine
E0410,Paraffin soft yellow
E0416,Zinc oxide +ACY- salicylic acid paste BP (Lassar's)
E0422,Zinc paste compound  crude coal tar 5+ACU-
E0426,Zinc paste compound  sulphur 5+ACU-
E0500,Activated charcoal powder
E0534,Cetrimide 15+ACU-  chlorhexidine 1.5+ACU- soln.for dilution (Savlon)
E0535,Chlorhexidine 1.5+ACU- soln
E0546,Gluteraldehyde solution 2+ACU- buffered (Cidex) with activator
E0547,Lignocaine spray 10+ACU- (for gastroscopy)
E0548,Silver sulphadiazine cream 1+ACU-
E0550,Clotrimazole cream 1+ACU-
E0552,Chlorinated lime pharmaceutical grade 30+ACU- chlorine
E0554,Iodine solution weak (iodine tincture)
E0556,Iodine strong 10+ACU- solution
E0560,Sodium hypochlorite concentrated solution
E0574,Methylated spirit 
E0585,Bismuth subgallate compound suppositories 
E0586,Glycerine suppositories (adult) 4g
E0587,Glycerine suppositories (child) 2g
E0591,Povidone iodine 10+ACU- in alcoholic solution
E0599,Silver nitrate stick pencil (toughened)
E0601,Paraffin liquid
E0602,Multivitamin syrup
E0628,Dexamethasone 0.1+ACU- +//0A4//9AJf//QCq//0A4v/9AJv//QCJ//0A7P/9AKL//QCn- 0.35+ACU- (sulfate) eye drops 
E0629,Acyclovir eye ointment 3+ACU-
E0630,Neomycin+Bacitrac//0- skin ointment
E0631,Salbutamol solution for nebulising 5mg/ml
F0002,Bandage crepe 5cm
F0004,Bandage crepe 7.5cm
F0005,Bandage crepe 8cm
F0006,Bandage crepe 10cm
F0008,Bandage crepe 15cm
F0017,Bandage orthopaedic 7.5cm
F0018,Bandage plaster of paris 5cm
F0020,Bandage plaster of paris 7.5cm
F0022,Bandage plaster of paris 10cm
F0024,Bandage plaster of paris 15cm
F0028,Bandage stockinette 5cm
F0030,Bandage stockinette 7.5cm
F0032,Bandage stockinette 10cm
F0034,Bandage stockinette 20cm
F0092,Bandage WOW 5cm x 4m 
F0094,Bandage WOW 7.5cm x 4m 
F0096,Bandage WOW 10cm x 4m
F0098,Bandage WOW 15cm x 4m
F0110,Dressing paraffin gauze 9.5cm x 9.5cm (square)
F0162,Gauze absorbent 40m
F0170,Gauze swabs 8+AC0-ply 10cm x 10cm
F0192,Lint
F0202,Plaster elastic adhesive 5cm x 5m
F0204,Plaster elastic adhesive 7.5cm x 5m
F0208,Plaster zinc oxide 5cm
F0210,Plaster zinc oxide 7.5cm
F0212,Plaster extension 7.5cm
F0236,Maternity towels 
F0242,Cotton wool 500gm
F0258,Mackintosh sheeting
G0170,Monofilament polypropylene(Prolene) 4/0 on rb needle 25mm
G0171,Polypropylene monofilament Prolene 3/0 on needle rb c 25mm
G0180,Monofilament polyamide 5/0 on needle
G0181,Monofilament polyamide 4/0 on rb needle 25mm
G0182,Monofilament polyamide 3/0 on rb needle
G0183,Monofilament polyamide 2/0 on rb needle 
G0185,Monofilament polyamide 1 on rb needle 
G0187,Monofilament PDS 11 on needle 70cm on rb 30mm 1/2c  needle
G0189,Monofilament PDS 11 on needle 90cm on rb 35mm C455 1/2c needle
G0202,Catgut chromic 4/0 on needle rb 1+//0A4v/9AIH//QCE-2c 20mm
G0206,Catgut chromic 3/0 on needle rb 1+//0A4v/9AIH//QCE-2c 25mm
G0210,Catgut chromic 2/0 on needle rb 1+//0A4v/9AIH//QCE-2c 35mm
G0214,Catgut chromic 0 on needle rb 1+//0A4v/9AIH//QCE-2c 40mm
G0218,Catgut chromic 1 on needle rb 1+//0A4v/9AIH//QCE-2c 50mm
G0222,Catgut chromic 2 on needle rb 1+//0A4v/9AIH//QCE-2c 50mm
G0232,Nylon 10/0 on cutting needle
G0235,Silk braided 4/0 on needle cc 25mm
G0238,Silk braided 3/0 on needle cc 30mm
G0244,Silk braided 2/0 on needle cc 40mm
G0250,Virgin silk twisted black gauge 8/0
G0251,Vicryl  3/0 on needle tapercut cc 1/2 circle 20mm
G0254,Monofilament polyamide nylon 10/0 on needle
G0255,Vicryl coated 2/0 on tapercut needle
G0300,Vicryl coated 3/0 on needle
G0301,Vicryl  coated 1 on rev cut needle 75cm on 35mm 1/2c
G0302,Vicryl coated 2 on rev cut needle 90cm on 35mm 1/2c
G0304,Vicryl coated 3/0 
G0305,Vicryl coated 2/0 
G0306,Vicryl coated 4/0 
G0307,Vicryl coated 5/0 
G0308,Ligature 4/0 150cm 
G0309,Ligature 3/0 150cm 
G0310,Ligature 2/0 150cm 
G0311,Ligature 0 150cm 
G0312,Ligature 1 150cm 
G0313,Vicryl coated 3/0 on rb needle 30mm/90cm
G0314,Monofilament PDS II 4/0 on needle rb 25mm/70cm
G0315,Monofilament PDS II 3/0 on needle rb 20mm/70cm
G0316,Monofilament PDS II 2/0 on needle rb 30mm/70cm
G0318,Nylon (polyamide) 3/0 on needle cutting 26mm/75cm
G0319,Nylon (polyamide) 4/0 on needle cutting single armed
G0320,Nylon (polyamide) 6/0 on needle cutting single armed 
G0321,Nylon (polyamide) 10/0 on spatulated needle single armed 6mm
G0323,Monofilament PDS I 3/0 on needle rb 25mm/70cm
GF0002,Apron laboratory disposable
GF0004,Stavudine 40mg (D4T)  Lamivudine 150 mg 3TC
GF0005,Acyclovir 400mg
GF0006,Acyclovir 5+ACU- cream 
GF0007,Lamivudine 150mg  Stavudine 30mg  (Dual comb.)
GF0008,Lamivudine 150mg  Stavudine 30mg  Nevirapine 200mg  (Triple Combination)
GF0009,Lamivudine 150mg Stavudine 40mg  Nevirapine 200mg  (Triple Combination)
GF0010,Nevirapine 200mg
GF0011,Lamividine 150 mg (3TC)  Zidovidine 300mg AZT
GF0012,Micro+AC0-Amp Reaction tube 0.2 ml
GF0013,Amphotericin B 50g/vial
GF0014,Iso Flow (Beckman coulter)
GF0015,Facs flow 
GF0016,Facs Count reagents kit
GF0017,Facs Count cleaning solution
GF0018,Facs control kit
GF0020,Ethyl Alcohol
GF0021,Reagent trough 500ml
GF0022,Laboratory timing device
GF0023,Blood collecting filter card grade 903 (Dry blood spot filter paper)
GF0024,Multipurpose storage container 1.1L
GF0025,Humidity sponge desiccant
GF0026,Traceable humidity monitor
GF0027,Micro Vials flat Bottom screw 2ml (1.8mm)
GF0028,Tip filter non+AC0-sterile20+AC0-200
GF0029,Vortex mixer
GF0030,Vacutainer K3EDTA tube 4.5ml
GF0031,Vacutainer multi sample needles
GF0032,Biohazard bags with seal 18.5 x 20cm
GF0033,CD4 Counter machine
GF0034,Tips filter non+AC0-sterile capacity 2+AC0-20
GF0035,Tips filter non+AC0-sterile capacity 20+AC0-200
GF0036,Tips filter non+AC0-sterile capacity 50+AC0-300
GF0037,Falcom conical tubes 15ml 17 x 120mm
GF0038,Falcom conical tubes 50ml 30 x 115mm
GF0039,Bottle wash 28mm
GF0040,Cylinder graduated tall form 100ml
GF0041,Cylinder graduated tall form 1000ml
GF0042,Beaker laboratory 200ml 
GF0043,Tube vacutainer glass K3EDTA 4.5ml
GF0044,Pipette serological 5ml sterile
GF0045,Pipette serological 10ml sterile
GF0046,Air flex wiping material
GF0047,Goggles
GF0049,Apron laboratory sleeves
GF0053,Hematocrit tubes disposable 75mm x 0.2mm 
GF0054,Bag plastic 18.5cm x 20cm with seal
GF0055,Separators paper 6 x 6 inches translucent waxed
GF0056,Towels paper
GF0077,Fine point permanent marker
GF0088,Determine HIV 1/2
GF0089,Haemastrip 
GF0090,Unigold
GF0091,Bioline
GF0092,Vironostica HIV
GF0116,Ciprofloxacin 250mg
GF0263,Morphine 10 mg
GF0278,Nystatin oral suspension 100000IU/dose
GF0296,Paracetamol 500mg tablet
GF0330,Vincristine sulphate 1mg PFR
GF0425,Pipettes Pasteur non+AC0-sterile 3.5ml/0.5 pipette transfer
GF0426,Pipettes Pasteur sterile disposable 150mm x 50mm
GF0427,Blood lancet sterile
GF0550,Clotrimazole 1+ACU-
H0007,Airway disposable (Portex) size 3
H0012,Airway disposable (Portex) size 2
H0028,Wooden applicators
H0050,Bags colostomy disposable 25.5cm x 13cm
H0056,Bags urine drainage 2000ml with outlet
H0061,Scalpel blade size 11 (individually wrapped)
H0063,Scalpel blade size 15 (individually wrapped)
H0066,Scalpel blade size 20 (individually wrapped)
H0067,Scalpel blade size 21 (individually wrapped)
H0068,Scalpel blade size 22 (individually wrapped)
H0069,Scalpel blade size 23 (individually wrapped)
H0070,Scalpel blade size 24 (individually wrapped)
H0121,Cannula iv (Venflon) 14
H0122,Cannula iv (Venflon) 16
H0123,Cannula iv (Venflon) 18
H0124,Cannula iv (Venflon) 20
H0125,Cannula iv (Venflon) 22
H0126,Cannula iv (Venflon) 24
H0127,Catheter disposable female FG 14
H0129,Catheter disposable female FG 16
H0131,Catheter Foley's  urine bag (2000ml) 10g
H0133,Catheter Foley's  urine bag (2000ml) 14g
H0134,Catheter Foley's  urine bag (2000ml) 16g
H0135,Catheter Foley's  urine bag (2000ml) 18g
H0146,Catheter Foley's retention 10cc FG 14
H0147,Catheter Foley's retention 10cc FG 16
H0155,Catheter Foley's retention 30cc FG 14
H0156,Catheter Foley's retention 30cc FG 16
H0157,Catheter Foley's retention 10cc FG 18
H0158,Catheter Foley's retention 30cc FG 18
H0160,Catheter Foley's retention 30cc FG 20
H0162,Catheter Foley's retention 30cc FG 22
H0164,Catheter Foley's retention 30cc FG 24
H0170,Catheter 3+AC0-way FG 24
H0171,Catheter 3+AC0-way FG 26
H0173,Catheter 3+AC0-way FG 28
H0177,Catheter 3+AC0-way FG 20
H0222,Forceps towel holding (Towel Clip) lock screw (89mm)
H0223,Forceps towel holding (Towel Clip) lock screw (127mm)
H0224,Clips umbilical cord polythene
H0225,Tape umbilical cotton 3mm x 20m non+AC0-sterile
H0242,Currette short blunt small
H0244,Currette short blunt large
H0264,Tongue depressors wooden
H0268,Delivery set
H0270,Diagnostic set with metal battery handle (Gowland's)
H0272,Diagnostic set spare bulb (Gowland's) 
H0288,Mucus extractor manual with bulb
H0302,Forceps artery curved (SW) 18cm
H0304,Forceps artery curved (SW) 30cm
H0306,Forceps artery straight (SW) 13cm
H0310,Forceps artery Kocher's 13cm
H0312,Forceps artery Kocher's 18cm
H0314,Forceps aural dressing
H0318,Forceps bowl Harrison's
H0320,Forceps steriliser (Cheatle's)
H0322,Forceps bonney's
H0324,Forceps dissecting plain 13cm
H0326,Forceps dissecting plain 18cm
H0328,Forceps dissecting toothed 13cm
H0330,Forceps dissecting toothed 18cm
H0331,Forceps dressing (Adson's)serrated delicate (125mm)
H0336,Forceps nickel suture extracting
H0342,Forceps mosquito straight
H0346,Forceps needle holder 18cm (Mayo's)
H0347,Forceps needle holder  (Mayo's) straight
H0348,Forceps sinus (Lister's)
H0350,Forceps tissue (Duval) Medium 15.5 cm
H0351,Forceps intestinal tissue holding (Babcock) 24 cm
H0354,Forceps sponge holding
H0356,Forceps tissue 12.5cm (Alli's)
H0358,Forceps tissue (Lane's)
H0361,Forceps intestinal tissue holding (Babcock's) locking boxjoint 165mm
H0362,Forceps tracheal dilating (Bowlby)
H0365,Forceps tracheal (Magill's) adult
H0366,Forceps tracheal (Magill's) child
H0370,Gag mouth child (Doyen's)
H0372,Gag mouth adult (Doyen's)
H0374,Gag mouth adult (Mason Ackland)
H0404,Glove disposable latex medium
H0406,Glove disposable latex large
H0409,Glove gynaecological elbow length medium
H0410,Glove gynaecological elbow length large
H0414,Glove postmortem size 71+//0A4v/9AIH//QCE-2
H0426,Glove surgeon's size 7 sterile
H0428,Glove surgeon's size 71+//0A4v/9AIH//QCE-2 sterile
H0430,Glove surgeon's size 8 sterile
H0440,Hammer patella
H0442,Scalpel handle size 3 (for blades 10+AC0-15)
H0444,Scalpel handle size 4 (for blades 20+AC0-24)
H0482,Introducer for catheters
H0486,Knife skin grafting handle
H0487,Knife skin grafting blade
H0490,Laryngoscope Macintosh complete (149mm)
H0491,Laryngoscope Macintosh blade curved hookfitting infant(90mm) 
H0492,Laryngoscope Macintosh spare bulb
H0493,Laryngoscope Macintosh blade curved hookfitting child(114mm)
H0494,Laryngoscope Macintosh blade curved hookfitting adult (130mm)
H0495,Manual vacuum aspirator set
H0503,Mask anaesthetic Ambu size 5
H0504,Mask anaesthetic Ambu size 4
H0505,Mask anaesthetic Ambu size 2
H0506,Mask anaesthetic Ambu size 0
H0507,Mask anaesthetic Ambu size 0A
H0510,Mask face disposable paper 2+AC0-ply
H0511,Resuscitator baby (ambu) model R with paedi valve
H0512,Bag (ambu) adult (22mm ISO+AC0-compatible inlet/outlet)
H0594,Needle disposable Luer 19g x 4cm
H0596,Needle disposable Luer 21g x 4cm
H0598,Needle disposable Luer 23g x 2.5cm
H0620,Needle lumbar puncture Luer 19g x 5cm
H0623,Lumbar puncture set
H0625,Needle lumbar puncture Luer 23 g x 3 cm
H0627,Needle lumbar puncture Luer 21g x 8cm
H0628,Needle lumbar puncture Luer 20g x 10cm
H0629,Needle spinal disposable Luer 22g x 10cm
H0631,Needle spinal disposable Luer 23g x 10cm
H0690,Needle suture intestinal round bodied 1+//0A4v/9AIH//QCE-2 circle trocar
H0800,Retractor rake self+AC0-retaining
H0802,Retractor (Langenbeck)
H0804,Retractor (Deaver) medium
H0806,Retractor (Deaver) large
H0807,Retractor self+AC0-retaining with 3 blades (Balfour)
H0808,Retractor (Langenbeck) blade 25mm x 64mm
